source;name;description;article;product_code;availability;image;url
nnz-ipc.ru;Шасси коммутатора PT-7728-F-HV-HV;Шасси коммутатора - до 28 портов, 4 слота для модулей PM-7200;6001088;;;https://nnz-ipc.ru/images/cms/thumbs/b6a0e4aa3fe8493bb8044aa1ab25d606312a69fb/57e5757ea5d611e3908100155d0c1500_d16e2e1cf6cb11e68dc000155d0c1500_270_auto_jpg__80.jpg.webp;https://nnz-ipc.ru/catalogue/comm/ethernet/power/pt-7728-f-hv-hv/
nnz-ipc.ru;Коммутатор EDS-205 RU;"Коммутатор 5 x 10/100BaseTX
(Сделано в России)";6120138;;;https://nnz-ipc.ru/images/cms/thumbs/920948bc3b49c61d47bf12fbd2cc007daa9bc996/ee3b58d2165511e88a4300155d0c1500_7d1930395d0311e8b47e00155d0c1500_270_auto_jpg__80.jpg.webp;https://nnz-ipc.ru/catalogue/comm/ethernet/unmanaged/eds-205_ru/
nnz-ipc.ru;Коммутатор EDS-510E-3GTXSFP-T;Коммутатор 7 x 10/100BaseTX, 3 x Combo Gigabit (10/100/1000BaseTX или 100/1000BaseSFP);6084712;;;https://nnz-ipc.ru/images/cms/thumbs/9baf8e72777e274b01db5c4d5679c78f31983102/22245770a5d611e3908100155d0c1500_0616584e549c11ea842700155d0fcd01_270_auto_jpg__80.jpg.webp;https://nnz-ipc.ru/catalogue/comm/ethernet/managed/eds-510e-3gtxsfp-t/
nnz-ipc.ru;Шасси коммутатора PT-7728-R-HV-HV;Шасси коммутатора - до 28 портов, 4 слота для модулей PM-7200;6001098;;;https://nnz-ipc.ru/images/cms/thumbs/b6a0e4aa3fe8493bb8044aa1ab25d606312a69fb/57e57587a5d611e3908100155d0c1500_0c129abb3bfd11e8be0900155d0c1500_270_auto_jpg__80.jpg.webp;https://nnz-ipc.ru/catalogue/comm/ethernet/power/pt-7728-r-hv-hv/
nnz-ipc.ru;Коммутатор EDS-408A;Коммутатор 8 x 10/100BaseTX с базовыми функциями управления;1169635;;;https://nnz-ipc.ru/images/cms/thumbs/cb4638689e7e9badc4dbc86edb9f38ee9afecb20/b0ac4edea5d511e3908100155d0c1500_b9482f59f6cb11e68dc000155d0c1500_270_auto_jpg__80.jpg.webp;https://nnz-ipc.ru/catalogue/comm/ethernet/managed/eds-408a/
nnz-ipc.ru;Шасси коммутатора PT-7828-F-HV-HV;Шасси коммутатора 3 уровня, до 28 портов, IEC-61850-3, питание 110/220 В пост/перем. + 110/220 В пост/перем.;6004311;;;https://nnz-ipc.ru/images/cms/thumbs/b6a0e4aa3fe8493bb8044aa1ab25d606312a69fb/57e57603a5d611e3908100155d0c1500_d16e2e3af6cb11e68dc000155d0c1500_270_auto_jpg__80.jpg.webp;https://nnz-ipc.ru/catalogue/comm/ethernet/power/pt-7828-f-hv-hv/
nnz-ipc.ru;Шасси коммутатора IKS-6726A-2GTXSFP-HV-T;Шасси коммутатора - до 26 портов, 2 x 10/100/1000BaseTX/SFP (Combo), 1 источник питания (110/220 В перем.);6100416;;;https://nnz-ipc.ru/images/cms/thumbs/c22ddb830121e3cb3c11f54d4460b756e3f8f2bc/5a7faf983d8211e486f100155d0c1500_d768c759f6cb11e68dc000155d0c1500_270_auto_jpg__80.jpg.webp;https://nnz-ipc.ru/catalogue/comm/ethernet/rackmount/iks-6726a-2gtxsfp-hv-t/
nnz-ipc.ru;Коммутатор SDS-3008;Конфигурируемый коммутатор 8 x 10/100BaseTX;6111281;;;https://nnz-ipc.ru/images/cms/thumbs/57ac75f57f4eb21e826e4bdd253c9beac47b7358/815b387aed1211e68dc000155d0c1500_0dc5e39c390211ea842600155d0fcd01_270_auto_jpg__80.jpg.webp;https://nnz-ipc.ru/catalogue/comm/ethernet/managed/sds-3008/
nnz-ipc.ru;Коммутатор EDS-205A;Коммутатор 5 x 10/100BaseTX;6009045;;;https://nnz-ipc.ru/images/cms/thumbs/543424152321caa1e141597829a4cc6d7c570df5/ce87c53da5d511e3908100155d0c1500_4dd8211c8e0e11f0b92800155d50c111_270_auto_jpg__80.jpg.webp;https://nnz-ipc.ru/catalogue/comm/ethernet/unmanaged/eds-205a/
nnz-ipc.ru;Шасси коммутатора PT-7728-F-48-48;Шасси коммутатора - до 28 портов, 4 слота для модулей PM-7200;6001086;;;"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==";https://nnz-ipc.ru/catalogue/comm/ethernet/power/pt-7728-f-48-48/
